Reference,Quantity,Value,Manufacturer,Manufacturer Part Number,Package,Notes
J1,1,4-position pluggable header,Same Sky,TBP01R1-508-04BE,THT 5.08 mm,"DigiKey 102-6408-ND; mating plug TBP01P1-508-04BE / 102-6392-ND"
U1,1,Smart high-side switch,Infineon,BSP762TXUMA1,PG-DSO-8,"DigiKey BSP762TXUMA1CT-ND; AEC qualified; active"
U2,1,Optocoupler,Vishay,VO617A-4X017T,DIP-4 SMD,"CTR rank 4; gull-wing leads"
Q1,1,PNP transistor,onsemi,SBC807-40LT1G,SOT-23,"DigiKey SBC807-40LT1GOSCT-ND; AEC-Q101"
D1,1,100 V 2 A Schottky,STMicroelectronics,STPS2H100A,SMA,"Series reverse-polarity protection"
D2,1,22 V TVS,Littelfuse,SMBJ22A,SMB,"Unidirectional transient clamp"
D3,1,Small-signal diode,SMC Diode Solutions,1N4148WS,SOD-323,"DigiKey 1655-1N4148WSCT-ND; optocoupler LED reverse protection"
D4,1,5.1 V Zener,Nexperia,BZT52-C5V1-QX,SOD-123,"DigiKey 1727-BZT52-C5V1-QXCT-ND; AEC-Q101; control-node clamp"
R1 R2,2,1k 1% 0.125 W,Yageo,RC0805FR-071KL,0805,"DigiKey 311-1.00KCRCT-ND; sense current limit; series pair"
R3 R5,2,10k 1%,Yageo,RC0805FR-0710KL,0805,
R4 R6,2,100k 1%,Yageo,RC0805FR-07100KL,0805,
C1,1,10 uF 25 V X7R AEC-Q200,TDK,CGA6P1X7R1E106K250AC,1210,"DigiKey 445-7000-1-ND; PWM accumulator"
C2,1,100 nF 50 V X7R,KEMET,C0805C104K5RAC7210,0805,"DigiKey 399-C0805C104K5RAC7210CT-ND; VPWR bypass"
C3,1,47 uF 50 V,Panasonic,EEE-FK1H470P,8 mm SMD electrolytic,"VPWR bulk"
H1 H2 H3 H4,4,M3 mounting hole,,,3.2 mm NPTH,
